cidade;estado;populacao;pib per capita;idh
bacabal;maranhao;98489;5133.56982422;0.651
bacabeira;maranhao;15574;6132.06005859;0.629
bacuri;maranhao;16585;2866.51000977;0.578
bacurituba;maranhao;5687;3129.15991211;0.537
bady bassitt;sao paulo;14127;13650.20996094;0.746
baependi;minas gerais;18745;6935.08007812;0.681
bage;rio grande do sul;115745;10072.98046875;0.740
bagre;para;20386;2244.2199707;0.471
baia da traicao;paraiba;7966;4567.68994141;0.581
baia formosa;rio grande do norte;8811;17588.38085938;0.609
baianopolis;bahia;14195;4243.75;0.589
baiao;para;28299;3743.88989258;0.578
baixa grande;bahia;21814;3073.7199707;0.585
baixa grande do ribeiro;piaui;10804;17361.08007812;0.564
baixio;ceara;5991;3695.95996094;0.627
baixo guandu;espirito santo;29891;7806.56005859;0.702
balbinos;sao paulo;4697;4907.37988281;0.669
baldim;minas gerais;8582;7908.81982422;0.671
baliza;goias;3679;6303.35009766;0.655
balneario arroio do silva;santa catarina;8808;7841.85009766;0.746
balneario barra do sul;santa catarina;7791;10870.86035156;0.716
balneario camboriu;santa catarina;102081;16777.56054688;0.845
balneario gaivota;santa catarina;7959;7987.93017578;0.728
balneario picarras;santa catarina;14845;15971.94042969;0.756
balneario pinhal;rio grande do sul;11840;8188.14990234;0.696
balsa nova;parana;11252;23716.5390625;0.696
balsamo;sao paulo;8227;14921.23046875;0.756
balsas;maranhao;83617;13397.04980469;0.687
bambui;minas gerais;22622;11307.73046875;0.741
banabuiu;ceara;18388;4135.97021484;0.606
bananal;sao paulo;10822;8162.66992188;0.733
bananeiras;paraiba;22316;4155.41015625;0.568
bandeira;minas gerais;5521;4633.62988281;0.599
bandeira do sul;minas gerais;5330;5828.14013672;0.692
bandeirante;santa catarina;3095;10627.75;0.672
bandeirantes;mato grosso do sul;6001;18285.31054688;0.727
bandeirantes;parana;32994;8877.20019531;0.681
bandeirantes do tocantins;tocantins;2807;17631.140625;0.638
bannach;para;3947;7822.74023438;0.594
banzae;bahia;11157;3293.97998047;0.579
barao;rio grande do sul;5444;14628.41015625;0.748
barao de antonina;sao paulo;2835;8633.83984375;0.711
barao de cocais;minas gerais;28074;12437.66015625;0.722
barao de cotegipe;rio grande do sul;6724;13540.03027344;0.719
barao de grajau;maranhao;17231;4286.93994141;0.592
barao de melgaco;mato grosso;7851;7582.79003906;0.600
barao de monte alto;minas gerais;5700;6170.14013672;0.649
barao do triunfo;rio grande do sul;7246;9773.33007812;0.610
barauna;rio grande do norte;24347;5374.81982422;0.574
barauna;paraiba;4045;4147.35986328;0.558
barbacena;minas gerais;128572;10386.54980469;0.769
barbalha;ceara;53011;6817.16992188;0.683
barbosa;sao paulo;6944;7206.54003906;0.699
barbosa ferraz;parana;13995;6901.27978516;0.696
barcarena;para;92567;35512.62890625;0.662
barcelona;rio grande do norte;4042;4300.33984375;0.566
barcelos;amazonas;25410;3058.5300293;0.500
bariri;sao paulo;33267;15391.01953125;0.750
barra;bahia;50226;2933.66992188;0.557
barra bonita;santa catarina;2120;12056.74023438;0.788
barra bonita;sao paulo;36214;19881.94921875;0.701
barra d'alcantara;piaui;3886;3770.94995117;0.577
barra da estiva;bahia;20537;6206.5;0.575
barra de guabiraba;pernambuco;13623;3420.37988281;0.577
barra de santa rosa;paraiba;13273;4077.80004883;0.562
barra de santana;paraiba;8909;3832.06005859;0.567
barra de santo antonio;alagoas;14435;3691.87988281;0.557
barra de sao francisco;espirito santo;41645;9434.73046875;0.683
barra de sao miguel;paraiba;5624;4567.27001953;0.572
barra de sao miguel;alagoas;7572;6267.83007812;0.615
barra do bugres;mato grosso;34349;12142.62988281;0.693
barra do chapeu;sao paulo;5358;6197.35986328;0.660
barra do choca;bahia;31527;9111.24023438;0.551
barra do corda;maranhao;81329;4824.43017578;0.606
barra do garcas;mato grosso;55120;13449.83984375;0.748
barra do guarita;rio grande do sul;3067;7166.81982422;0.734
barra do jacare;parana;2860;10831.6796875;0.744
barra do mendes;bahia;14459;3445.37011719;0.630
barra do ouro;tocantins;3691;7276.27978516;0.603
barra do pirai;rio de janeiro;103833;11571.62011719;0.733
barra do quarai;rio grande do sul;3873;27914.00976562;0.662
barra do ribeiro;rio grande do sul;11762;12112.83984375;0.670
barra do rio azul;rio grande do sul;1978;14485.75;0.723
barra do rocha;bahia;5860;4955.33984375;0.577
barra do turvo;sao paulo;7699;5844.08007812;0.641
barra dos coqueiros;sergipe;19998;8445.99023438;0.649
barra funda;rio grande do sul;2453;26066.91015625;0.763
barra longa;minas gerais;7050;5298.14990234;0.624
barra mansa;rio de janeiro;176899;19866.09960938;0.729
barra velha;santa catarina;19861;16225.95996094;0.738
barracao;rio grande do sul;5401;18088.4609375;0.706
barracao;parana;9267;17423.08007812;0.710
barras;piaui;44913;3405.12988281;0.595
barreira;ceara;19469;3880.91992188;0.616
barreiras;bahia;137832;12284.91015625;0.721
barreiras do piaui;piaui;3485;3317.60009766;0.557
barreirinha;amazonas;28162;3595.51000977;0.574
barreirinhas;maranhao;50354;2944.12011719;0.570
barreiros;pernambuco;43911;3894.77001953;0.586
barretos;sao paulo;113618;14556.76953125;0.789
barrinha;sao paulo;27169;9853.76953125;0.725
barro;ceara;21556;3578.68994141;0.599
barro alto;bahia;14172;2923.60009766;0.607
barro alto;goias;6714;13340.75;0.742
barro duro;piaui;6853;3655.37011719;0.612
barro preto;bahia;6417;4337.60986328;0.602
barrocas;bahia;13868;7164;0.610
barrolandia;tocantins;5322;6823.25976562;0.642
barroquinha;ceara;15558;3435.84008789;0.571
barros cassal;rio grande do sul;11879;9462.12988281;0.650
